N,Посада,Мова програмування,Спеціалізація,Загальний досвід роботи,Досвід роботи на поточному місці,Зарплата на місяць,Зміна зарплати за 12 місяців,Місто,Розмір компанії,Тип компанії,Стать,Вік,Освіта,Університет,Ще студент,Рівень англійської,Предметна область,Дата заповнення,User.Agent,exp,current_job_exp,salary,Валюта,cls,avg
7067,QA Tech Lead,,Automation QA,6,2,3700,300,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,28,Вища,НТУУ «КПІ»,False,Upper-Intermediate (вище середнього),Desktop Applications,26/06/2017 22:04:35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,2.0,3700,,QA,2684.4303797468356
7068,Security Specialist,,,4,1.5,300,50,Одеса,до 10 осіб,Інша,чоловіча,28,Вища,ОНУ ім. Мечникова,False,Elementary (початковий),Інше,26/06/2017 22:11:26,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,1.5,300,,,1783.25
7069,Product Manager,,,2,1,700,100,Херсон,до 50 осіб,Продуктова,жіноча,27,Вища,Інший ВНЗ,False,Advanced (просунутий),"Веб-розробка,Інше",26/06/2017 22:14:48,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,1.0,700,,,2054.4712643678163
7070,Junior Software Engineer,Java,,2,0.25,600,0,Київ,до 200 осіб,Аутсорсингова,чоловіча,21,Вища,НТУУ «КПІ»,True,Upper-Intermediate (вище середнього),Android,26/06/2017 22:17:12,"Mozilla/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) CriOS/59.0.3071.102 Mobile/14F89 Safari/602.1",2.0,0.25,600,,DEV,605.65859375
7071,QA engineer,,General QA,1,1,1150,500,Київ,до 1000 осіб,Продуктова,чоловіча,31,Вища,НТУУ «КПІ»,False,Pre-intermediate (нище середнього),Веб-розробка,26/06/2017 22:19:51,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:54.0) Gecko/20100101 Firefox/54.0,1.0,1.0,1150,,QA,1176.7046070460704
7072,Software Engineer,C++,,4,4,3200,300,Київ,до 10 осіб,Інша,чоловіча,23,Вища,НаУКМА,False,Advanced (просунутий),Gamedev,26/06/2017 22:23:20,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",4.0,4.0,3200,,DEV,1678.630073800738
7073,Sales manager,,,3,3,700,150,Вінниця,до 1000 осіб,Стартап,чоловіча,23,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),Інше,26/06/2017 22:27:04,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,3.0,700,,,635.8470588235294
7074,Senior Software Engineer,C#/.NET,,5,менше 3 місяців,3000,500,Львів,до 50 осіб,Стартап,чоловіча,34,Вища,Львівська Політехніка,False,Upper-Intermediate (вище середнього),"Desktop Applications,Фінанси та банкінг",26/06/2017 22:28:05,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,0.0,3000,,DEV,3243.2009259259257
7075,Game designer,,,менше 3 місяців,менше 3 місяців,500,0,Київ,до 10 осіб,Інша,чоловіча,27,Вища,Інший ВНЗ,False,Intermediate (середній),Gamedev,26/06/2017 22:36:27,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.898",0.0,0.0,500,,,1455.2777777777778
7076,Team lead,,,10 і більше років,6,4000,0,Київ,до 1000 осіб,Продуктова,чоловіча,35,Дві вищих,ХНУРЕ,False,Advanced (просунутий),"Системне програмування,Gamedev",26/06/2017 22:39:09,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",10.0,6.0,4000,,PM,2836.3289473684213
7077,Research Engineer,,,4,3,1777,300,Інше,до 1000 осіб,Інша,чоловіча,27,Вища,НаУКМА,False,Advanced (просунутий),"Embedded,Інше",26/06/2017 22:40:19,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",4.0,3.0,1777,,,1099.0
7078,QA engineer,,Manual QA,7,2,1778,78,Київ,до 50 осіб,Аутсорсингова,чоловіча,40,Вища,КНЕУ,False,Upper-Intermediate (вище середнього),Веб-розробка,26/06/2017 22:45:21,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",7.0,2.0,1778,,QA,1176.7046070460704
7079,Software Engineer,C#/.NET,,3,0.25,2500,1200,Київ,до 50 осіб,Продуктова,чоловіча,25,Вища,Інший ВНЗ,False,Intermediate (середній),Gamedev,26/06/2017 22:48:42,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,0.25,2500,,DEV,1678.630073800738
7080,DevOps,,,4,0.25,3500,1500,Київ,до 200 осіб,Продуктова,чоловіча,22,Вища,НАУ,False,Intermediate (середній),,26/06/2017 22:58:49,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,0.25,3500,,ADM,2162.6882352941175
7081,Project manager,,,2,2,1000,400,Харків,до 50 осіб,Інша,чоловіча,27,Вища,ХНУРЕ,False,Upper-Intermediate (вище середнього),"Android,iOS",26/06/2017 23:05:38,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,2.0,1000,,PM,1512.8463611859838
7082,HR,,,2,2,500,100,Тернопіль,до 50 осіб,Аутсорсингова,чоловіча,24,Вища,Інший ВНЗ,False,Pre-intermediate (нище середнього),Веб-розробка,26/06/2017 23:13:50,"Mozilla/5.0 (Linux; Android 6.0.1; SM-G900H Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.132 Mobile Safari/537.36",2.0,2.0,500,,,850.2834008097166
7083,Senior Software Engineer,C#/.NET,,7,1,3200,700,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,31,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),"Веб-розробка,Корпоративні системи",26/06/2017 23:24:39,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,7.0,1.0,3200,,DEV,3243.2009259259257
7084,Technical Lead,PHP,,10 і більше років,0.5,2400,0,Київ,до 50 осіб,Продуктова,чоловіча,26,Вища,Інший ВНЗ,False,Intermediate (середній),"Веб-розробка,Інше",26/06/2017 23:30:21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,0.5,2400,,SDEV,3664.272
7085,Software Engineer,Python,,2,менше 3 місяців,2000,1400,Київ,до 10 осіб,Стартап,чоловіча,21,Вища,НТУУ «КПІ»,True,Intermediate (середній),Веб-розробка,26/06/2017 23:36:13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.0,2000,,DEV,1678.630073800738
7086,Software Engineer,JavaScript,,5,0.25,2900,400,Київ,до 200 осіб,Продуктова,чоловіча,30,Вища,НАУ,False,Intermediate (середній),"Веб-розробка,Фінанси та банкінг",26/06/2017 23:40:10,Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0,5.0,0.25,2900,,DEV,1678.630073800738
7087,Software Engineer,Java,,0.5,0.25,3100,1500,Київ,до 50 осіб,Аутстафінгова,чоловіча,19,Неповна Вища,КНЕУ,False,Elementary (початковий),"Веб-розробка,eCommerce",26/06/2017 23:49:44,Mozilla/5.0 (X11; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0,0.5,0.25,3100,,DEV,1678.630073800738
7088,System Architect,C#/.NET,,7,4,4000,0,Київ,більше 1000 осіб,Аутстафінгова,чоловіча,28,Вища,ДонНТУ,False,Upper-Intermediate (вище середнього),Інше,27/06/2017 00:01:55,"Mozilla/5.0 (Windows NT 10.0; ARM; Lumia 930) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",7.0,4.0,4000,,SDEV,4387.076923076923
7089,Senior Software Engineer,JavaScript,,4,0.5,3500,900,Віддалено,більше 1000 осіб,Продуктова,чоловіча,24,Вища,Львівська Політехніка,False,Upper-Intermediate (вище середнього),"Веб-розробка,Корпоративні системи",27/06/2017 00:03:10,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,0.5,3500,,DEV,3243.2009259259257
7090,Director of Engineering / Program Director,,,10 і більше років,0.5,4000,0,Київ,до 50 осіб,Стартап,чоловіча,33,Вища,НТУУ «КПІ»,False,Upper-Intermediate (вище середнього),eCommerce,27/06/2017 00:04:47,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",10.0,0.5,4000,,SPM,5066.363636363636
7091,DevOps,,,9,0.25,3500,500,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,29,Вища,Інший ВНЗ,False,Intermediate (середній),"Фінанси та банкінг,eCommerce",27/06/2017 00:06:46,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",9.0,0.25,3500,,ADM,2162.6882352941175
7092,Software Engineer,C#/.NET,,6,5,3025,275,Дніпро,до 200 осіб,Продуктова,чоловіча,27,Вища,ДНУ ім. Гончара,False,Intermediate (середній),Веб-розробка,27/06/2017 00:07:28,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5 Build/M4B30Z) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.92 Mobile Safari/537.36",6.0,5.0,3025,,DEV,1678.630073800738
7093,Junior Software Engineer,C#/.NET,,1,1,1000,500,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,21,Неповна Вища,НТУУ «КПІ»,True,Upper-Intermediate (вище середнього),"Веб-розробка,Корпоративні системи",27/06/2017 00:19:36,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.0,1.0,1000,,DEV,605.65859375
7094,Project manager,,,3,1,1200,300,Одеса,до 50 осіб,Аутсорсингова,чоловіча,30,Вища,ОНАЗ,False,Upper-Intermediate (вище середнього),"Веб-розробка,eCommerce",27/06/2017 00:21:47,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,1.0,1200,,PM,1512.8463611859838
7095,QA engineer,,Manual QA,1,0.5,550,200,Львів,до 200 осіб,Стартап,жіноча,21,Неповна Вища,ЛНУ ім. Франко,True,Upper-Intermediate (вище середнього),,27/06/2017 00:25:38,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.5,550,,QA,1176.7046070460704
7096,Software Engineer,PHP,,5,1,2000,0,Львів,до 50 осіб,Аутстафінгова,чоловіча,25,Вища,НметАУ,False,Pre-intermediate (нище середнього),eCommerce,27/06/2017 00:26:20,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",5.0,1.0,2000,,DEV,1678.630073800738
7097,Junior Software Engineer,Java,,1.5,1,1150,600,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,24,Вища,ДонНУ,False,Intermediate (середній),Веб-розробка,27/06/2017 00:42:21,"Mozilla/5.0 (Linux; Android 6.0; MZ-PRO 6 Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/45.0.2454.94 Mobile Safari/537.36",1.5,1.0,1150,,DEV,605.65859375
7098,Technical Lead,C#/.NET,,10 і більше років,4,4000,0,Львів,до 10 осіб,Стартап,чоловіча,35,Вища,ЛНУ ім. Франко,False,Upper-Intermediate (вище середнього),Веб-розробка,27/06/2017 00:48:09,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",10.0,4.0,4000,,SDEV,3664.272
7099,Senior Software Engineer,Python,,5,4,2600,100,Вінниця,до 200 осіб,Аутсорсингова,чоловіча,31,Вища,ДонНТУ,False,Intermediate (середній),"Веб-розробка,eCommerce",27/06/2017 01:20:34,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",5.0,4.0,2600,,DEV,3243.2009259259257
7100,Support,,,5,4,2500,1000,Київ,до 1000 осіб,Аутстафінгова,чоловіча,28,Вища,НТУУ «КПІ»,False,Upper-Intermediate (вище середнього),"Телекомунікації,Інше",27/06/2017 01:27:59,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36",5.0,4.0,2500,,,817.3391304347826
7101,Software Engineer,C#/.NET,,10 і більше років,1,1000,0,Чернівці,до 50 осіб,Аутсорсингова,чоловіча,40,Кандидат,Інший ВНЗ,False,Intermediate (середній),Фінанси та банкінг,27/06/2017 03:11:40,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:54.0) Gecko/20100101 Firefox/54.0,10.0,1.0,1000,,DEV,1678.630073800738
7102,Senior Software Engineer,Java,,10 і більше років,4,2200,0,Рівне,до 50 осіб,Аутсорсингова,чоловіча,40,Вища,Інший ВНЗ,False,Intermediate (середній),Веб-розробка,27/06/2017 03:34:26,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,4.0,2200,,DEV,3243.2009259259257
7103,HR,,,3,0.25,1000,500,Київ,до 10 осіб,Аутстафінгова,чоловіча,24,Середня,,False,Upper-Intermediate (вище середнього),,27/06/2017 05:06:08,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.104 Safari/537.36",3.0,0.25,1000,,,850.2834008097166
7104,Senior Project Manager / Program Manager,,,10 і більше років,2,4500,500,Київ,до 10 осіб,Аутстафінгова,чоловіча,50,Дві вищих,ДонНУ,False,Advanced (просунутий),"Desktop Applications,Веб-розробка",27/06/2017 06:49:25,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko,10.0,2.0,4500,,SPM,3562.181818181818
7105,Senior Software Engineer,Java,,3,2,3200,0,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,33,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),"Веб-розробка,eCommerce",27/06/2017 07:44:39,"Mozilla/5.0 (Windows NT 10.0; ARM; Lumia 640 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36 Edge/15.15063",3.0,2.0,3200,,DEV,3243.2009259259257
7106,QA engineer,,General QA,1.5,1,300,0,Вінниця,до 10 осіб,Продуктова,чоловіча,35,Вища,Інший ВНЗ,False,Intermediate (середній),"Веб-розробка,eCommerce",27/06/2017 08:13:01,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:54.0) Gecko/20100101 Firefox/54.0,1.5,1.0,300,,QA,1176.7046070460704
7107,Senior Software Engineer,Java,,10 і більше років,0.5,5000,0,Київ,до 50 осіб,Продуктова,чоловіча,31,Вища,НТУУ «КПІ»,False,Advanced (просунутий),Веб-розробка,27/06/2017 08:32:53,"Mozilla/5.0 (Linux; Android 7.0; SM-G935F Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",10.0,0.5,5000,,DEV,3243.2009259259257
7108,Senior QA engineer,,Manual QA,4,1.5,1650,150,Дніпро,більше 1000 осіб,Аутсорсингова,жіноча,25,Вища,ДНУ ім. Гончара,False,Upper-Intermediate (вище середнього),"Веб-розробка,eCommerce",27/06/2017 08:37:20,"Mozilla/5.0 (Linux; Android 5.1.1; Redmi 3 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",4.0,1.5,1650,,QA,2385.536121673004
7109,Junior Software Engineer,PHP,,1.5,менше 3 місяців,350,-100,Харків,до 10 осіб,Аутсорсингова,чоловіча,21,Неповна Вища,Інший ВНЗ,True,Intermediate (середній),"Веб-розробка,Мультимедіа",27/06/2017 08:43:20,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B150 Safari/602.1",1.5,0.0,350,,DEV,605.65859375
7110,Senior Software Engineer,Delphi,,10 і більше років,10 і більше років,2400,1000,Віддалено,до 50 осіб,Аутсорсингова,чоловіча,40,Вища,ХНУРЕ,False,Pre-intermediate (нище середнього),"Desktop Applications,Фінанси та банкінг",27/06/2017 08:57:26,Mozilla/5.0 (Windows NT 6.1; rv:52.0) Gecko/20100101 Firefox/52.0,10.0,10.0,2400,,DEV,3243.2009259259257
7111,Software Engineer,C#/.NET,,3,1,1200,500,Харків,до 200 осіб,Продуктова,чоловіча,24,Вища,НТУ «ХПІ»,False,Intermediate (середній),Веб-розробка,27/06/2017 09:06:34,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,1.0,1200,,DEV,1678.630073800738
7112,Senior Software Engineer,C#/.NET,,10 і більше років,5,3200,0,Вінниця,більше 1000 осіб,Аутсорсингова,чоловіча,42,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),Корпоративні системи,27/06/2017 09:08:52,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",10.0,5.0,3200,,DEV,3243.2009259259257
7113,QA engineer,,General QA,4,менше 3 місяців,1200,560,Київ,до 200 осіб,Продуктова,чоловіча,32,Вища,НТУУ «КПІ»,False,Intermediate (середній),"Android,iOS",27/06/2017 09:21:43,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",4.0,0.0,1200,,QA,1176.7046070460704
7114,Software Engineer,PHP,,5,4,450,70,Хмельницький,до 10 осіб,Продуктова,чоловіча,29,Вища,НУПТ,False,Intermediate (середній),Веб-розробка,27/06/2017 09:32:56,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",5.0,4.0,450,,DEV,1678.630073800738
7115,HR,,,0.5,0.5,300,50,Харків,до 50 осіб,Аутсорсингова,жіноча,23,Вища,НТУ «ХПІ»,False,Pre-intermediate (нище середнього),,27/06/2017 09:53:17,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.898",0.5,0.5,300,,,850.2834008097166
7116,Software Engineer,C#/.NET,,6,1,800,200,Запоріжжя,до 50 осіб,Аутсорсингова,чоловіча,29,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),Веб-розробка,27/06/2017 09:56:43,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,1.0,800,,DEV,1678.630073800738
7117,Junior Software Engineer,JavaScript,,0.5,0.5,350,0,Миколаїв,до 1000 осіб,Продуктова,чоловіча,20,Вища,ЧГУ ім. Петра Могили,True,Pre-intermediate (нище середнього),Веб-розробка,27/06/2017 10:02:41,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,350,,DEV,605.65859375
7118,Senior Software Engineer,Java,,10 і більше років,3,3500,0,Дніпро,до 50 осіб,Аутсорсингова,чоловіча,35,Вища,ДНУ ім. Гончара,False,Advanced (просунутий),"Веб-розробка,Корпоративні системи",27/06/2017 10:03:34,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,3.0,3500,,DEV,3243.2009259259257
7119,Project manager,,,3,3,4000,300,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,30,Вища,НАУ,False,Upper-Intermediate (вище середнього),Корпоративні системи,27/06/2017 10:06:26,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",3.0,3.0,4000,,PM,1512.8463611859838
7120,HR,,,10 і більше років,3,1000,300,Одеса,до 200 осіб,Продуктова,чоловіча,50,Дві вищих,Інший ВНЗ,False,Pre-intermediate (нище середнього),Телекомунікації,27/06/2017 10:07:28,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,3.0,1000,,,850.2834008097166
7121,Business analyst,,,3,0.5,2500,1000,Харків,до 1000 осіб,Продуктова,чоловіча,33,Дві вищих,ХАІ,False,Upper-Intermediate (вище середнього),,27/06/2017 10:21:09,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,3.0,0.5,2500,,,1551.5
7122,Project manager,,,10 і більше років,0.5,2800,-200,Київ,до 50 осіб,Продуктова,чоловіча,33,Вища,НТУУ «КПІ»,False,Advanced (просунутий),"Веб-розробка,eCommerce",27/06/2017 10:25:10,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,0.5,2800,,PM,1512.8463611859838
7123,Junior Software Engineer,Java,,1,1,200,100,Черкаси,до 50 осіб,Аутсорсингова,чоловіча,20,Вища,Інший ВНЗ,True,Elementary (початковий),Android,27/06/2017 10:40:20,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0,1.0,1.0,200,,DEV,605.65859375
7124,HR,,,2,2,1300,1300,Львів,до 200 осіб,Аутстафінгова,жіноча,23,Вища,ЛНУ ім. Франко,False,Advanced (просунутий),"Desktop Applications,Веб-розробка",27/06/2017 10:40:37,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,2.0,1300,,,850.2834008097166
7125,Junior Software Engineer,Java,,1,1,460,0,Київ,до 50 осіб,Інша,чоловіча,27,Вища,КНУ ім. Шевченко,False,Intermediate (середній),"Веб-розробка,Інше",27/06/2017 10:45:41,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,460,,DEV,605.65859375
7126,Team lead,,,5,5,2000,100,Харків,до 1000 осіб,Продуктова,жіноча,38,Вища,Інший ВНЗ,False,Intermediate (середній),Gamedev,27/06/2017 10:51:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,5.0,2000,,PM,2836.3289473684213
7127,Marketing,,,0.5,0.5,150,0,Одеса,до 200 осіб,Інша,чоловіча,23,Вища,ОНУ ім. Мечникова,False,Pre-intermediate (нище середнього),"eCommerce,Інше",27/06/2017 10:53:15,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,150,,,861.2826086956521
7128,Software Engineer,JavaScript,,1.5,1,700,200,Вінниця,до 50 осіб,Аутстафінгова,чоловіча,22,Вища,ВНТУ,False,Intermediate (середній),"Веб-розробка,Корпоративні системи",27/06/2017 10:54:35,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.0,700,,DEV,1678.630073800738
7129,Senior Software Engineer,C++,,10 і більше років,2,2200,200,Запоріжжя,до 50 осіб,Продуктова,чоловіча,36,Вища,Інший ВНЗ,False,Intermediate (середній),Системне програмування,27/06/2017 11:03:11,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,2.0,2200,,DEV,3243.2009259259257
7130,Software Engineer,JavaScript,,4,0.5,1800,300,Івано-Франківськ,більше 1000 осіб,Аутсорсингова,чоловіча,25,Вища,Інший ВНЗ,False,Intermediate (середній),Веб-розробка,27/06/2017 11:04:30,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,0.5,1800,,DEV,1678.630073800738
7131,HR,,,3,0.5,400,150,Київ,до 200 осіб,Аутсорсингова,жіноча,27,Вища,ДНУ ім. Гончара,False,Upper-Intermediate (вище середнього),"Веб-розробка,Системне програмування",27/06/2017 11:18:21,"Mozilla/5.0 (Linux; Android 6.0; MZ-U20 Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/45.0.2454.94 Mobile Safari/537.36",3.0,0.5,400,,,850.2834008097166
7132,Software Engineer,PHP,,2,1.5,1000,600,Луцьк,до 200 осіб,Аутсорсингова,чоловіча,24,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),"Веб-розробка,eCommerce",27/06/2017 11:19:07,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",2.0,1.5,1000,,DEV,1678.630073800738
7133,HTML coder,,,2,1,300,0,Вінниця,до 10 осіб,Стартап,чоловіча,25,Вища,ВНТУ,False,Elementary (початковий),Веб-розробка,27/06/2017 11:39:04,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",2.0,1.0,300,,,550.9935897435897
